EmpID,Age,AgeGroup,Education,EducationField,Gender,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobLevel,JobRole,MaritalStatus
RM055,26,26-35,3,Marketing,Female,5,2,2,0,0.0,2,Sales Executive,Married
RM126,26,26-35,3,Other,Female,5,5,4,4,3.0,1,Research Scientist,Married
RM135,26,26-35,1,Life Sciences,Female,8,8,7,5,7.0,1,Human Resources,Married
RM279,26,26-35,3,Life Sciences,Female,6,6,5,1,4.0,2,Manufacturing Director,Divorced
RM285,26,26-35,2,Medical,Male,5,5,3,3,3.0,2,Healthcare Representative,Married
RM289,26,26-35,4,Medical,Male,5,3,2,0,2.0,1,Laboratory Technician,Divorced
RM294,26,26-35,4,Marketing,Male,8,8,7,7,4.0,2,Sales Executive,Single
RM356,26,26-35,3,Life Sciences,Male,8,8,7,7,7.0,2,Sales Executive,Married
RM383,26,26-35,1,Technical Degree,Male,7,6,4,0,4.0,1,Research Scientist,Single
RM419,26,26-35,3,Life Sciences,Female,3,3,2,0,2.0,1,Research Scientist,Divorced
RM454,26,26-35,4,Life Sciences,Female,8,7,7,1,0.0,1,Human Resources,Divorced
RM461,26,26-35,2,Medical,Male,8,0,0,0,0.0,2,Sales Executive,Divorced
RM464,26,26-35,3,Technical Degree,Male,1,1,0,0,0.0,1,Laboratory Technician,Single
RM476,26,26-35,2,Marketing,Male,6,5,3,1,4.0,2,Sales Executive,Married
RM506,26,26-35,3,Life Sciences,Female,3,3,2,0,2.0,1,Laboratory Technician,Married
RM572,26,26-35,2,Life Sciences,Female,5,2,2,2,0.0,1,Laboratory Technician,Divorced
RM574,26,26-35,3,Technical Degree,Male,6,4,3,1,2.0,2,Sales Executive,Single
RM615,26,26-35,2,Medical,Female,8,8,7,1,7.0,1,Research Scientist,Married
RM686,26,26-35,3,Medical,Male,7,7,7,0,7.0,2,Sales Executive,Single
RM734,26,26-35,2,Medical,Male,8,8,7,1,3.0,2,Manufacturing Director,Married
RM749,26,26-35,2,Medical,Male,7,2,2,2,2.0,2,Sales Executive,Single
RM763,26,26-35,3,Life Sciences,Male,6,3,2,1,2.0,1,Research Scientist,Married
RM770,26,26-35,1,Medical,Female,5,5,3,1,3.0,1,Research Scientist,Divorced
RM782,26,26-35,2,Medical,Male,6,5,3,1,3.0,1,Laboratory Technician,Married
RM798,26,26-35,3,Medical,Male,1,1,1,0,0.0,1,Laboratory Technician,Divorced
RM844,26,26-35,4,Medical,Male,8,8,7,0,7.0,1,Laboratory Technician,Married
RM913,26,26-35,2,Life Sciences,Male,8,8,5,2,2.0,1,Research Scientist,Single
RM999,26,26-35,1,Medical,Male,5,4,3,1,1.0,1,Research Scientist,Single
RM1005,26,26-35,3,Other,Male,8,7,7,0,7.0,1,Laboratory Technician,Single
RM1119,26,26-35,3,Life Sciences,Female,1,1,0,0,0.0,1,Research Scientist,Married
RM1207,26,26-35,3,Medical,Male,7,7,7,5,7.0,1,Laboratory Technician,Single
RM1225,26,26-35,4,Medical,Male,3,3,2,0,2.0,1,Laboratory Technician,Married
RM1298,26,26-35,2,Medical,Female,6,5,1,1,4.0,1,Human Resources,Married
RM1310,26,26-35,3,Medical,Male,5,5,3,1,2.0,2,Sales Executive,Single
RM1350,26,26-35,2,Life Sciences,Female,1,1,0,1,0.0,1,Research Scientist,Married
RM1362,26,26-35,3,Other,Male,8,7,7,7,7.0,1,Laboratory Technician,Married
RM1387,26,26-35,3,Medical,Male,8,7,7,7,6.0,1,Laboratory Technician,Single
RM1465,26,26-35,3,Other,Female,5,4,2,0,0.0,1,Sales Representative,Single
RM1465,26,26-35,3,Other,Female,5,4,2,0,5.0,1,Sales Representative,Single
RM005,27,26-35,1,Medical,Male,6,2,2,2,2.0,1,Laboratory Technician,Married
RM042,27,26-35,4,Life Sciences,Female,1,1,0,0,0.0,1,Laboratory Technician,Divorced
RM044,27,26-35,3,Life Sciences,Male,9,9,8,1,7.0,3,Sales Executive,Single
RM162,27,26-35,3,Medical,Male,6,2,2,2,2.0,1,Research Scientist,Divorced
RM165,27,26-35,3,Medical,Male,1,1,1,0,1.0,1,Research Scientist,Divorced
RM171,27,26-35,3,Technical Degree,Male,6,5,2,1,1.0,1,Research Scientist,Married
RM192,27,26-35,3,Medical,Female,7,7,7,0,3.0,1,Research Scientist,Single
RM201,27,26-35,1,Technical Degree,Male,6,2,2,2,0.0,2,Manufacturing Director,Married
RM213,27,26-35,3,Life Sciences,Female,7,7,7,0,7.0,2,Sales Executive,Single
RM319,27,26-35,3,Life Sciences,Female,4,4,3,1,2.0,1,Research Scientist,Single
RM321,27,26-35,3,Life Sciences,Male,5,5,4,0,4.0,2,Sales Executive,Single
RM332,27,26-35,1,Marketing,Male,6,5,4,1,4.0,2,Sales Executive,Married
RM340,27,26-35,4,Marketing,Female,8,8,7,0,7.0,2,Sales Executive,Married
RM374,27,26-35,2,Medical,Male,5,5,2,0,4.0,1,Laboratory Technician,Divorced
RM486,27,26-35,4,Medical,Female,6,5,3,0,3.0,1,Research Scientist,Divorced
RM496,27,26-35,1,Marketing,Male,5,4,3,0,2.0,1,Sales Representative,Divorced
RM513,27,26-35,4,Medical,Male,5,4,2,1,1.0,1,Research Scientist,Single
RM522,27,26-35,1,Medical,Female,6,6,5,0,4.0,2,Sales Executive,Divorced
RM531,27,26-35,2,Life Sciences,Female,9,9,7,0,7.0,3,Manufacturing Director,Married
RM538,27,26-35,2,Life Sciences,Male,9,9,7,1,7.0,3,Manufacturing Director,Divorced
RM555,27,26-35,3,Medical,Female,9,7,6,0,7.0,2,Healthcare Representative,Single
RM577,27,26-35,1,Marketing,Male,5,4,2,1,1.0,2,Sales Executive,Married
RM611,27,26-35,1,Technical Degree,Male,9,9,8,0,8.0,3,Research Director,Divorced
RM616,27,26-35,3,Medical,Male,0,0,0,0,0.0,1,Research Scientist,Married
RM671,27,26-35,3,Life Sciences,Female,1,1,1,0,0.0,1,Research Scientist,Single
RM718,27,26-35,4,Technical Degree,Female,4,2,2,2,2.0,1,Laboratory Technician,Married
RM740,27,26-35,4,Life Sciences,Female,4,3,2,2,2.0,2,Manufacturing Director,Married
RM787,27,26-35,5,Life Sciences,Male,3,3,2,1,2.0,1,Laboratory Technician,Married
RM834,27,26-35,3,Life Sciences,Male,4,4,2,2,2.0,1,Research Scientist,Married
RM890,27,26-35,3,Life Sciences,Male,9,9,7,6,8.0,1,Research Scientist,Married
RM903,27,26-35,2,Life Sciences,Male,5,5,3,0,3.0,1,Research Scientist,Divorced
RM971,27,26-35,3,Medical,Female,5,1,0,0,0.0,1,Sales Representative,Married
RM975,27,26-35,1,Life Sciences,Male,8,6,2,0,0.0,2,Sales Executive,Single
RM997,27,26-35,3,Marketing,Female,6,6,2,4,4.0,2,Sales Executive,Married
RM998,27,26-35,4,Life Sciences,Female,8,8,2,7,7.0,1,Research Scientist,Single
RM1018,27,26-35,1,Life Sciences,Male,6,5,0,1,4.0,1,Laboratory Technician,Married
RM1150,27,26-35,3,Other,Male,7,7,7,0,7.0,1,Laboratory Technician,Divorced
RM1170,27,26-35,3,Medical,Female,5,3,2,0,2.0,1,Research Scientist,Married
RM1171,27,26-35,3,Medical,Male,6,4,2,1,2.0,1,Research Scientist,Single
RM1249,27,26-35,3,Medical,Female,6,6,2,1,4.0,1,Research Scientist,Single
RM1318,27,26-35,2,Life Sciences,Female,6,5,4,0,2.0,1,Laboratory Technician,Single
RM1329,27,26-35,1,Medical,Female,9,9,8,5,8.0,2,Sales Representative,Married
RM1335,27,26-35,3,Life Sciences,Female,8,7,6,7,3.0,1,Research Scientist,Married
RM1351,27,26-35,2,Medical,Female,9,8,7,0,7.0,2,Sales Executive,Single
RM1368,27,26-35,4,Technical Degree,Male,6,5,3,1,2.0,1,Research Scientist,Married
RM1380,27,26-35,3,Human Resources,Female,1,1,0,0,0.0,1,Human Resources,Married
RM1394,27,26-35,3,Marketing,Male,7,7,7,0,7.0,2,Sales Executive,Single
RM1468,27,26-35,3,Life Sciences,Male,6,6,2,0,3.0,2,Manufacturing Director,Married
RM1468,27,26-35,3,Life Sciences,Male,6,6,2,0,3.0,2,Manufacturing Director,Married
RM015,28,26-35,3,Life Sciences,Male,6,4,2,0,3.0,1,Laboratory Technician,Single
RM052,28,26-35,4,Technical Degree,Male,2,2,2,2,2.0,1,Laboratory Technician,Single
RM098,28,26-35,3,Medical,Male,5,5,4,0,4.0,2,Sales Executive,Married
RM163,28,26-35,3,Medical,Male,5,5,2,0,2.0,1,Research Scientist,Married
RM265,28,26-35,4,Life Sciences,Male,5,0,0,0,0.0,1,Laboratory Technician,Single
RM273,28,26-35,3,Medical,Male,5,5,2,0,4.0,1,Research Scientist,Married
RM290,28,26-35,2,Life Sciences,Female,5,5,3,0,2.0,1,Research Scientist,Single
RM303,28,26-35,2,Medical,Male,9,8,3,0,7.0,2,Healthcare Representative,Single
RM324,28,26-35,4,Medical,Male,5,3,2,2,2.0,1,Research Scientist,Married
RM375,28,26-35,4,Life Sciences,Male,7,7,5,0,7.0,2,Sales Executive,Single
RM405,28,26-35,2,Medical,Male,10,10,0,1,3.0,2,Laboratory Technician,Divorced
RM541,28,26-35,2,Life Sciences,Female,10,7,7,3,7.0,1,Research Scientist,Single
RM599,28,26-35,4,Medical,Male,5,2,2,2,1.0,1,Research Scientist,Single
RM613,28,26-35,4,Marketing,Female,8,8,7,7,5.0,2,Sales Executive,Married
RM630,28,26-35,2,Medical,Male,6,5,1,0,4.0,1,Human Resources,Divorced
RM660,28,26-35,4,Medical,Male,4,4,2,0,2.0,2,Sales Executive,Single
RM669,28,26-35,3,Medical,Female,6,2,2,2,2.0,1,Research Scientist,Divorced
RM765,28,26-35,1,Medical,Male,1,1,0,0,0.0,1,Sales Representative,Married
RM781,28,26-35,2,Technical Degree,Male,10,10,7,1,9.0,3,Healthcare Representative,Single
RM789,28,26-35,3,Other,Female,10,8,7,1,7.0,2,Research Scientist,Single
RM794,28,26-35,2,Life Sciences,Male,4,4,2,2,2.0,1,Laboratory Technician,Divorced
RM801,28,26-35,3,Medical,Male,1,1,0,0,0.0,1,Laboratory Technician,Divorced
RM810,28,26-35,3,Medical,Female,10,9,7,1,7.0,3,Manufacturing Director,Divorced
RM820,28,26-35,1,Life Sciences,Male,6,5,3,0,4.0,1,Research Scientist,Married
RM828,28,26-35,3,Life Sciences,Male,3,3,1,0,2.0,1,Research Scientist,Divorced
RM843,28,26-35,1,Life Sciences,Female,1,1,1,0,0.0,1,Laboratory Technician,Married
RM869,28,26-35,4,Medical,Male,6,6,5,3,3.0,1,Laboratory Technician,Married
RM922,28,26-35,4,Medical,Male,5,4,2,0,2.0,1,Laboratory Technician,Single
RM930,28,26-35,3,Life Sciences,Male,2,2,2,2,2.0,1,Laboratory Technician,Married
RM934,28,26-35,3,Technical Degree,Male,5,3,2,1,2.0,1,Research Scientist,Single
RM945,28,26-35,3,Life Sciences,Female,10,9,8,7,5.0,2,Laboratory Technician,Married
RM985,28,26-35,3,Life Sciences,Male,5,5,3,0,4.0,2,Sales Executive,Married
RM1042,28,26-35,3,Medical,Male,6,5,4,1,3.0,2,Sales Executive,Single
RM1057,28,26-35,3,Technical Degree,Male,5,3,2,1,2.0,1,Sales Representative,Married
RM1069,28,26-35,2,Medical,Male,8,0,0,0,0.0,1,Laboratory Technician,Single
RM1070,28,26-35,3,Life Sciences,Male,1,1,0,0,0.0,1,Research Scientist,Divorced
RM1071,28,26-35,3,Life Sciences,Male,5,4,2,1,3.0,2,Sales Executive,Single
RM1074,28,26-35,1,Life Sciences,Male,8,8,6,1,7.0,2,Manufacturing Director,Married
RM1137,28,26-35,3,Medical,Male,1,1,1,0,0.0,1,Laboratory Technician,Married
RM1152,28,26-35,3,Medical,Female,6,5,3,0,0.0,2,Manufacturing Director,Divorced
RM1284,28,26-35,3,Life Sciences,Male,5,5,3,0,3.0,1,Research Scientist,Married
RM1308,28,26-35,3,Medical,Female,3,3,2,1,2.0,1,Research Scientist,Married
RM1324,28,26-35,2,Life Sciences,Male,3,3,2,2,2.0,1,Human Resources,Divorced
RM1338,28,26-35,3,Medical,Female,1,1,0,0,0.0,1,Sales Representative,Married
RM1365,28,26-35,2,Life Sciences,Male,7,7,7,0,7.0,2,Sales Executive,Married
RM1370,28,26-35,2,Marketing,Female,6,2,0,2,2.0,2,Sales Executive,Single
RM1382,28,26-35,3,Medical,Male,5,5,3,1,4.0,1,Research Scientist,Single
RM1391,28,26-35,3,Technical Degree,Male,6,4,1,0,3.0,1,Laboratory Technician,Divorced
RM012,29,26-35,2,Life Sciences,Female,10,9,5,0,8.0,2,Laboratory Technician,Single
RM016,29,26-35,4,Life Sciences,Female,10,10,9,8,8.0,3,Manufacturing Director,Divorced
RM072,29,26-35,3,Life Sciences,Male,6,5,4,0,3.0,1,Research Scientist,Married
RM156,29,26-35,1,Technical Degree,Male,10,10,7,0,9.0,2,Manufacturing Director,Married
RM206,29,26-35,3,Marketing,Female,10,10,4,1,3.0,3,Sales Executive,Married
RM218,29,26-35,3,Technical Degree,Male,7,6,2,1,5.0,1,Research Scientist,Single
RM228,29,26-35,1,Medical,Female,11,11,10,4,1.0,3,Sales Executive,Married
RM230,29,26-35,1,Medical,Male,4,4,3,0,1.0,1,Research Scientist,Single
RM253,29,26-35,3,Life Sciences,Male,6,6,5,1,3.0,1,Research Scientist,Single
RM255,29,26-35,2,Marketing,Male,10,3,2,0,3.0,2,Sales Executive,Divorced
RM266,29,26-35,3,Medical,Male,10,0,0,0,0.0,2,Sales Executive,Married
RM283,29,26-35,2,Life Sciences,Male,10,10,7,0,9.0,2,Sales Executive,Single
RM337,29,26-35,4,Other,Male,7,7,7,0,7.0,1,Laboratory Technician,Married
RM338,29,26-35,5,Other,Male,4,3,2,2,2.0,1,Laboratory Technician,Single
RM344,29,26-35,1,Marketing,Female,7,7,7,1,7.0,2,Sales Executive,Divorced
RM350,29,26-35,3,Life Sciences,Male,4,4,3,0,2.0,2,Sales Executive,Married
RM372,29,26-35,3,Life Sciences,Male,6,3,2,1,2.0,1,Research Scientist,Single
RM421,29,26-35,4,Medical,Male,10,10,2,0,7.0,3,Research Director,Married
RM422,29,26-35,5,Technical Degree,Female,6,2,2,1,1.0,1,Research Scientist,Married
RM455,29,26-35,3,Technical Degree,Male,8,3,2,1,2.0,2,Manufacturing Director,Divorced
RM508,29,26-35,2,Medical,Female,6,6,0,1,2.0,2,Sales Executive,Married
RM520,29,26-35,4,Life Sciences,Male,10,10,7,2,8.0,1,Research Scientist,Divorced
RM547,29,26-35,3,Life Sciences,Male,1,1,0,0,0.0,1,Sales Representative,Single
RM556,29,26-35,3,Marketing,Male,2,2,2,2,2.0,1,Sales Representative,Divorced
RM573,29,26-35,3,Medical,Female,11,8,7,1,1.0,2,Healthcare Representative,Married
RM590,29,26-35,2,Life Sciences,Female,1,1,0,0,0.0,1,Laboratory Technician,Married
RM595,29,26-35,2,Life Sciences,Male,10,10,7,0,7.0,1,Research Scientist,Married
RM646,29,26-35,3,Medical,Female,5,3,2,0,2.0,1,Sales Representative,Divorced
RM658,29,26-35,1,Medical,Female,8,4,3,0,3.0,1,Laboratory Technician,Divorced
RM698,29,26-35,3,Technical Degree,Female,3,3,1,0,2.0,1,Sales Representative,Married
RM712,29,26-35,3,Life Sciences,Female,3,0,0,0,0.0,1,Research Scientist,Single
RM809,29,26-35,4,Life Sciences,Female,11,7,5,1,7.0,1,Research Scientist,Divorced
RM824,29,26-35,3,Life Sciences,Female,8,7,5,1,1.0,1,Research Scientist,Divorced
RM826,29,26-35,1,Medical,Male,10,10,7,1,2.0,2,Manufacturing Director,Married
RM837,29,26-35,1,Life Sciences,Female,11,11,8,3,10.0,3,Sales Executive,Married
RM853,29,26-35,1,Medical,Female,10,10,8,0,8.0,1,Laboratory Technician,Married
RM860,29,26-35,1,Life Sciences,Female,6,5,4,1,3.0,1,Research Scientist,Married
RM894,29,26-35,3,Life Sciences,Female,3,3,2,1,2.0,1,Research Scientist,Divorced
RM904,29,26-35,3,Life Sciences,Male,6,6,0,1,0.0,2,Healthcare Representative,Divorced
RM906,29,26-35,3,Life Sciences,Female,9,7,7,1,7.0,4,Research Director,Divorced
RM933,29,26-35,3,Technical Degree,Female,10,7,7,7,7.0,1,Laboratory Technician,Divorced
